season,date,teams,result
1968-1969,19.01.1969,Palermo-Bologna,2-0
1968-1969,19.01.1969,Sampdoria-Cagliari,0-1
1968-1969,19.01.1969,Torino-Varese,2-1
1968-1969,19.01.1969,Vicenza-Pisa,1-2
1968-1969,26.01.1969,Bologna-Inter,1-2
1968-1969,26.01.1969,Cagliari-Atalanta,1-0
1968-1969,26.01.1969,Juventus-Sampdoria,1-1
1968-1969,26.01.1969,Milan-Palermo,1-0
1968-1969,26.01.1969,Pisa-Napoli,1-0
1968-1969,26.01.1969,Roma-Torino,1-3
1968-1969,26.01.1969,Varese-Fiorentina,2-2
1968-1969,26.01.1969,Verona-Vicenza,2-1
1968-1969,02.02.1969,Fiorentina-Roma,0-0
1968-1969,02.02.1969,Inter-Vicenza,1-0
1968-1969,02.02.1969,Juventus-Atalanta,1-0
1968-1969,02.02.1969,Palermo-Cagliari,0-0
1968-1969,02.02.1969,Pisa-Torino,1-1
1968-1969,02.02.1969,Sampdoria-Milan,1-1
1968-1969,02.02.1969,Varese-Bologna,1-1
1968-1969,02.02.1969,Verona-Napoli,1-0
1968-1969,09.02.1969,Atalanta-Fiorentina,0-1
1968-1969,09.02.1969,Bologna-Vicenza,3-0
1968-1969,09.02.1969,Cagliari-Varese,0-0
1968-1969,09.02.1969,Milan-Verona,3-0
1968-1969,09.02.1969,Napoli-Inter,3-1
1968-1969,09.02.1969,Palermo-Juventus,1-1
1968-1969,09.02.1969,Roma-Pisa,2-0
1968-1969,09.02.1969,Torino-Sampdoria,2-0
1968-1969,16.02.1969,Fiorentina-Cagliari,1-1
1968-1969,16.02.1969,Inter-Palermo,0-0
1968-1969,16.02.1969,Juventus-Roma,2-2
1968-1969,16.02.1969,Pisa-Milan,0-1
1968-1969,16.02.1969,Sampdoria-Napoli,0-2
1968-1969,16.02.1969,Varese-Atalanta,1-2
1968-1969,16.02.1969,Verona-Bologna,5-1
1968-1969,16.02.1969,Vicenza-Torino,1-1
1968-1969,23.02.1969,Atalanta-Vicenza,1-3
1968-1969,23.02.1969,Bologna-Juventus,1-1
1968-1969,23.02.1969,Cagliari-Inter,1-0
1968-1969,23.02.1969,Milan-Fiorentina,0-0
1968-1969,23.02.1969,Palermo-Sampdoria,1-0
1968-1969,23.02.1969,Roma-Napoli,0-0
1968-1969,23.02.1969,Torino-Verona,4-0
1968-1969,23.02.1969,Varese-Pisa,3-1
1968-1969,02.03.1969,Atalanta-Pisa,1-1
1968-1969,02.03.1969,Bologna-Fiorentina,0-0
1968-1969,02.03.1969,Inter-Milan,1-1
1968-1969,02.03.1969,Juventus-Varese,2-0
1968-1969,02.03.1969,Napoli-Torino,0-0
1968-1969,02.03.1969,Sampdoria-Roma,0-0
1968-1969,02.03.1969,Verona-Palermo,2-0
1968-1969,02.03.1969,Vicenza-Cagliari,1-1
1968-1969,09.03.1969,Cagliari-Juventus,0-1
1968-1969,09.03.1969,Fiorentina-Vicenza,3-0
1968-1969,09.03.1969,Milan-Atalanta,0-0
1968-1969,09.03.1969,Napoli-Bologna,1-1
1968-1969,09.03.1969,Pisa-Verona,1-1
1968-1969,09.03.1969,Roma-Inter,0-3
1968-1969,09.03.1969,Torino-Palermo,3-1
1968-1969,09.03.1969,Varese-Sampdoria,0-0
1968-1969,16.03.1969,Bologna-Atalanta,1-0
1968-1969,16.03.1969,Cagliari-Roma,0-0
1968-1969,16.03.1969,Inter-Pisa,4-0
1968-1969,16.03.1969,Juventus-Torino,0-0
1968-1969,16.03.1969,Palermo-Napoli,0-2
1968-1969,16.03.1969,Sampdoria-Fiorentina,1-1
1968-1969,16.03.1969,Verona-Varese,1-1
1968-1969,16.03.1969,Vicenza-Milan,1-1
1968-1969,23.03.1969,Atalanta-Sampdoria,0-0
1968-1969,23.03.1969,Fiorentina-Inter,1-0
1968-1969,23.03.1969,Milan-Bologna,4-0
1968-1969,23.03.1969,Napoli-Vicenza,1-0
1968-1969,23.03.1969,Pisa-Juventus,0-0
1968-1969,23.03.1969,Roma-Verona,1-2
1968-1969,23.03.1969,Torino-Cagliari,0-0
1968-1969,23.03.1969,Varese-Palermo,0-0
1968-1969,06.04.1969,Atalanta-Palermo,2-2
1968-1969,06.04.1969,Bologna-Roma,0-0
1968-1969,06.04.1969,Cagliari-Milan,3-1
1968-1969,06.04.1969,Inter-Torino,2-2
1968-1969,06.04.1969,Juventus-Napoli,2-0
1968-1969,06.04.1969,Sampdoria-Pisa,1-2
1968-1969,06.04.1969,Verona-Fiorentina,2-2
1968-1969,06.04.1969,Vicenza-Varese,1-0
1968-1969,13.04.1969,Bologna-Cagliari,2-2
1968-1969,13.04.1969,Milan-Juventus,1-0
1968-1969,13.04.1969,Napoli-Fiorentina,1-3
1968-1969,13.04.1969,Palermo-Pisa,1-0
1968-1969,13.04.1969,Roma-Vicenza,5-2
1968-1969,13.04.1969,Torino-Atalanta,3-1
1968-1969,13.04.1969,Varese-Inter,0-1
1968-1969,13.04.1969,Verona-Sampdoria,0-3
1968-1969,20.04.1969,Atalanta-Inter,0-4
1968-1969,20.04.1969,Fiorentina-Torino,0-0
1968-1969,20.04.1969,Juventus-Verona,1-0
1968-1969,20.04.1969,Milan-Roma,1-0
1968-1969,20.04.1969,Pisa-Cagliari,0-0
1968-1969,20.04.1969,Sampdoria-Bologna,0-0
1968-1969,20.04.1969,Varese-Napoli,1-2
1968-1969,20.04.1969,Vicenza-Palermo,1-0
1968-1969,27.04.1969,Atalanta-Napoli,0-0
1968-1969,27.04.1969,Cagliari-Verona,2-0
1968-1969,27.04.1969,Inter-Sampdoria,1-1
1968-1969,27.04.1969,Palermo-Fiorentina,0-0
1968-1969,27.04.1969,Pisa-Bologna,0-1
1968-1969,27.04.1969,Roma-Varese,0-0
1968-1969,27.04.1969,Torino-Milan,1-0
1968-1969,27.04.1969,Vicenza-Juventus,0-0
1968-1969,04.05.1969,Bologna-Torino,2-0
1968-1969,04.05.1969,Fiorentina-Pisa,3-1
1968-1969,04.05.1969,Juventus-Inter,1-0
1968-1969,04.05.1969,Milan-Varese,2-0
1968-1969,04.05.1969,Napoli-Cagliari,2-1
1968-1969,04.05.1969,Palermo-Roma,0-3
1968-1969,04.05.1969,Sampdoria-Vicenza,1-0
1968-1969,04.05.1969,Verona-Atalanta,1-1
1968-1969,11.05.1969,Bologna-Palermo,2-0
1968-1969,11.05.1969,Cagliari-Sampdoria,0-0
1968-1969,11.05.1969,Juventus-Fiorentina,0-2
1968-1969,11.05.1969,Milan-Napoli,0-0
1968-1969,11.05.1969,Pisa-Vicenza,2-2
1968-1969,11.05.1969,Roma-Atalanta,4-1
1968-1969,11.05.1969,Varese-Torino,1-0
1968-1969,11.05.1969,Verona-Inter,2-3
1968-1969,18.05.1969,Atalanta-Cagliari,1-2
1968-1969,18.05.1969,Fiorentina-Varese,3-1
1968-1969,18.05.1969,Inter-Bologna,4-0
1968-1969,18.05.1969,Napoli-Pisa,2-1
1968-1969,18.05.1969,Palermo-Milan,0-0
1968-1969,18.05.1969,Sampdoria-Juventus,1-1
1968-1969,18.05.1969,Torino-Roma,2-0
1968-1969,18.05.1969,Vicenza-Verona,2-1
1969-1970,14.09.1969,Bari-Roma,1-0
1969-1970,14.09.1969,Brescia-Milan,1-4
1969-1970,14.09.1969,Fiorentina-Verona,1-0
1969-1970,14.09.1969,Inter-Bologna,1-0
1969-1970,14.09.1969,Juventus-Palermo,4-1
1969-1970,14.09.1969,Lazio-Torino,1-1
1969-1970,14.09.1969,Sampdoria-Cagliari,0-0
1969-1970,14.09.1969,Vicenza-Napoli,3-2
1969-1970,21.09.1969,Bologna-Lazio,1-0
1969-1970,21.09.1969,Cagliari-Vicenza,2-1
1969-1970,21.09.1969,Milan-Bari,1-0
1969-1970,21.09.1969,Napoli-Fiorentina,0-1
1969-1970,21.09.1969,Palermo-Inter,1-2
1969-1970,21.09.1969,Roma-Brescia,1-0
1969-1970,21.09.1969,Torino-Sampdoria,2-1
1969-1970,21.09.1969,Verona-Juventus,1-0
1969-1970,28.09.1969,Bari-Napoli,0-0
1969-1970,28.09.1969,Brescia-Cagliari,0-2
1969-1970,28.09.1969,Fiorentina-Sampdoria,1-0
1969-1970,28.09.1969,Inter-Torino,2-0
1969-1970,28.09.1969,Juventus-Bologna,1-1
1969-1970,28.09.1969,Lazio-Milan,1-0
1969-1970,28.09.1969,Palermo-Vicenza,1-3
1969-1970,28.09.1969,Verona-Roma,2-0
1969-1970,05.10.1969,Bologna-Palermo,3-1
1969-1970,05.10.1969,Brescia-Bari,0-0
1969-1970,05.10.1969,Cagliari-Lazio,1-0
1969-1970,04.10.1969,Milan-Verona,2-0
1969-1970,05.10.1969,Roma-Inter,2-1
1969-1970,05.10.1969,Sampdoria-Juventus,0-0
1969-1970,05.10.1969,Torino-Napoli,0-2
1969-1970,05.10.1969,Vicenza-Fiorentina,1-2
1969-1970,12.10.1969,Bari-Vicenza,0-0
1969-1970,12.10.1969,Fiorentina-Cagliari,0-1
1969-1970,12.10.1969,Inter-Brescia,3-1
1969-1970,12.10.1969,Juventus-Torino,1-2
1969-1970,12.10.1969,Lazio-Sampdoria,1-0
1969-1970,12.10.1969,Napoli-Roma,0-0
1969-1970,12.10.1969,Palermo-Milan,0-0
1969-1970,12.10.1969,Verona-Bologna,0-0
1969-1970,19.10.1969,Bologna-Bari,1-1
1969-1970,19.10.1969,Brescia-Verona,0-0
1969-1970,19.10.1969,Cagliari-Inter,1-1
1969-1970,19.10.1969,Lazio-Fiorentina,5-1
1969-1970,16.10.1969,Milan-Roma,2-3
1969-1970,19.10.1969,Sampdoria-Napoli,0-0
1969-1970,19.10.1969,Torino-Palermo,1-1
1969-1970,19.10.1969,Vicenza-Juventus,1-0
1969-1970,26.10.1969,Bari-Sampdoria,0-0
1969-1970,26.10.1969,Fiorentina-Torino,0-0
1969-1970,26.10.1969,Juventus-Inter,2-1
1969-1970,10.12.1969,Milan-Bologna,0-0
1969-1970,26.10.1969,Napoli-Cagliari,0-2
1969-1970,26.10.1969,Palermo-Brescia,1-3
1969-1970,26.10.1969,Roma-Lazio,2-1
1969-1970,26.10.1969,Vicenza-Verona,3-0
1969-1970,09.11.1969,Bologna-Fiorentina,2-2
1969-1970,09.11.1969,Cagliari-Roma,1-0
1969-1970,09.11.1969,Inter-Milan,0-0
1969-1970,09.11.1969,Lazio-Vicenza,1-0
1969-1970,09.11.1969,Napoli-Juventus,1-0
1969-1970,09.11.1969,Sampdoria-Brescia,2-0
1969-1970,09.11.1969,Torino-Bari,0-1
1969-1970,09.11.1969,Verona-Palermo,2-0
1969-1970,16.11.1969,Brescia-Bologna,1-1
1969-1970,16.11.1969,Cagliari-Juventus,1-1
1969-1970,16.11.1969,Fiorentina-Bari,3-0
1969-1970,16.11.1969,Milan-Napoli,1-0
1969-1970,16.11.1969,Palermo-Lazio,1-1
1969-1970,16.11.1969,Roma-Sampdoria,3-3
1969-1970,16.11.1969,Torino-Verona,2-1
1969-1970,16.11.1969,Vicenza-Inter,1-1
1969-1970,30.11.1969,Bari-Palermo,1-0
1969-1970,30.11.1969,Bologna-Vicenza,1-1
1969-1970,30.11.1969,Inter-Lazio,3-0
1969-1970,30.11.1969,Juventus-Fiorentina,2-0
1969-1970,30.11.1969,Napoli-Brescia,0-0
1969-1970,30.11.1969,Roma-Torino,0-0
1969-1970,30.11.1969,Sampdoria-Milan,1-1
1969-1970,30.11.1969,Verona-Cagliari,1-1
1969-1970,07.12.1969,Cagliari-Bologna,1-0
1969-1970,07.12.1969,Fiorentina-Inter,2-0
1969-1970,07.12.1969,Lazio-Napoli,0-2
1969-1970,07.12.1969,Milan-Juventus,0-2
1969-1970,07.12.1969,Palermo-Sampdoria,3-0
1969-1970,07.12.1969,Torino-Brescia,1-0
1969-1970,07.12.1969,Verona-Bari,4-1
1969-1970,07.12.1969,Vicenza-Roma,3-0
1969-1970,14.12.1969,Bologna-Napoli,1-2
1969-1970,14.12.1969,Brescia-Juventus,0-1
1969-1970,14.12.1969,Fiorentina-Roma,2-2
1969-1970,15.12.1969,Inter-Bari,1-0
1969-1970,14.12.1969,Lazio-Verona,0-1
1969-1970,14.12.1969,Palermo-Cagliari,1-0
1969-1970,14.12.1969,Sampdoria-Vicenza,0-1
1969-1970,14.12.1969,Torino-Milan,0-1
1969-1970,21.12.1969,Bari-Cagliari,0-0
1969-1970,21.12.1969,Bologna-Torino,0-1
1969-1970,21.12.1969,Juventus-Lazio,2-1
1969-1970,21.12.1969,Milan-Fiorentina,4-2
1969-1970,21.12.1969,Napoli-Inter,0-0
1969-1970,21.12.1969,Roma-Palermo,1-1
1969-1970,21.12.1969,Verona-Sampdoria,1-1
1969-1970,21.12.1969,Vicenza-Brescia,0-1
1969-1970,28.12.1969,Bari-Lazio,0-0
1969-1970,28.12.1969,Brescia-Fiorentina,1-2
1969-1970,28.12.1969,Cagliari-Milan,1-1
1969-1970,28.12.1969,Inter-Verona,0-0
1969-1970,28.12.1969,Palermo-Napoli,0-0
1969-1970,28.12.1969,Roma-Juventus,0-3
1969-1970,28.12.1969,Sampdoria-Bologna,0-0
1969-1970,28.12.1969,Torino-Vicenza,1-0
1969-1970,04.01.1970,Bologna-Roma,1-1
1969-1970,04.01.1970,Cagliari-Torino,2-0
1969-1970,04.01.1970,Fiorentina-Palermo,3-1
1969-1970,04.01.1970,Inter-Sampdoria,3-2
1969-1970,04.01.1970,Juventus-Bari,1-0
1969-1970,04.01.1970,Lazio-Brescia,1-0
1969-1970,04.01.1970,Napoli-Verona,2-1
1969-1970,04.01.1970,Vicenza-Milan,1-0
1969-1970,11.01.1970,Bologna-Inter,2-1
1969-1970,11.01.1970,Cagliari-Sampdoria,4-0
1969-1970,11.01.1970,Milan-Brescia,1-1
1969-1970,11.01.1970,Napoli-Vicenza,1-0
1969-1970,11.01.1970,Palermo-Juventus,1-3
1969-1970,11.01.1970,Roma-Bari,1-0
1969-1970,11.01.1970,Torino-Lazio,3-0
1969-1970,11.01.1970,Verona-Fiorentina,0-1
1969-1970,18.01.1970,Bari-Milan,0-5
1969-1970,18.01.1970,Brescia-Roma,0-1
1969-1970,18.01.1970,Fiorentina-Napoli,1-2
1969-1970,18.01.1970,Inter-Palermo,2-0
1969-1970,18.01.1970,Juventus-Verona,3-0
1969-1970,18.01.1970,Lazio-Bologna,1-0
1969-1970,18.01.1970,Sampdoria-Torino,1-1
1969-1970,18.01.1970,Vicenza-Cagliari,1-2
1969-1970,25.01.1970,Bologna-Juventus,0-0
1969-1970,25.01.1970,Cagliari-Brescia,4-0
1969-1970,25.01.1970,Milan-Lazio,3-0
1969-1970,25.01.1970,Napoli-Bari,1-0
1969-1970,25.01.1970,Roma-Verona,1-1
1969-1970,25.01.1970,Sampdoria-Fiorentina,1-3
1969-1970,25.01.1970,Torino-Inter,0-0
1969-1970,25.01.1970,Vicenza-Palermo,1-1
1969-1970,01.02.1970,Bari-Brescia,2-0
1969-1970,01.02.1970,Fiorentina-Vicenza,2-1
1969-1970,01.02.1970,Inter-Roma,2-0
1969-1970,01.02.1970,Juventus-Sampdoria,2-0
1969-1970,01.02.1970,Lazio-Cagliari,0-2
1969-1970,01.02.1970,Napoli-Torino,4-0
1969-1970,01.02.1970,Palermo-Bologna,1-0
1969-1970,01.02.1970,Verona-Milan,2-2
1969-1970,08.02.1970,Bologna-Verona,0-0
1969-1970,08.02.1970,Brescia-Inter,1-1
1969-1970,08.02.1970,Cagliari-Fiorentina,0-0
1969-1970,08.02.1970,Milan-Palermo,1-0
1969-1970,08.02.1970,Roma-Napoli,2-1
1969-1970,08.02.1970,Sampdoria-Lazio,0-2
1969-1970,08.02.1970,Torino-Juventus,0-3
1969-1970,08.02.1970,Vicenza-Bari,2-0
1969-1970,15.02.1970,Bari-Bologna,0-2
1969-1970,15.02.1970,Fiorentina-Lazio,2-0
1969-1970,15.02.1970,Inter-Cagliari,1-0
1969-1970,15.02.1970,Juventus-Vicenza,4-0
1969-1970,15.02.1970,Napoli-Sampdoria,0-2
1969-1970,15.02.1970,Palermo-Torino,1-0
1969-1970,15.02.1970,Roma-Milan,0-1
1969-1970,15.02.1970,Verona-Brescia,0-0
1969-1970,01.03.1970,Bologna-Milan,0-1
1969-1970,01.03.1970,Brescia-Palermo,4-2
1969-1970,01.03.1970,Cagliari-Napoli,2-0
1969-1970,01.03.1970,Inter-Juventus,0-0
1969-1970,01.03.1970,Lazio-Roma,1-1
1969-1970,01.03.1970,Sampdoria-Bari,1-0
1969-1970,01.03.1970,Torino-Fiorentina,1-0
1969-1970,01.03.1970,Verona-Vicenza,3-1
1969-1970,08.03.1970,Bari-Torino,0-1
1969-1970,08.03.1970,Brescia-Sampdoria,0-0
1969-1970,08.03.1970,Fiorentina-Bologna,0-1
1969-1970,08.03.1970,Juventus-Napoli,0-0
1969-1970,08.03.1970,Milan-Inter,0-1
1969-1970,08.03.1970,Palermo-Verona,1-0
1969-1970,08.03.1970,Roma-Cagliari,1-1
1969-1970,09.03.1970,Vicenza-Lazio,2-1
1969-1970,15.03.1970,Bari-Fiorentina,1-1
1969-1970,15.03.1970,Bologna-Brescia,0-3
1969-1970,15.03.1970,Inter-Vicenza,0-0
1969-1970,15.03.1970,Juventus-Cagliari,2-2
1969-1970,15.03.1970,Lazio-Palermo,4-0
1969-1970,15.03.1970,Napoli-Milan,1-1
1969-1970,15.03.1970,Sampdoria-Roma,2-0
1969-1970,15.03.1970,Verona-Torino,0-1
1969-1970,22.03.1970,Brescia-Napoli,1-2
1969-1970,22.03.1970,Cagliari-Verona,1-0
1969-1970,22.03.1970,Fiorentina-Juventus,2-0
1969-1970,22.03.1970,Lazio-Inter,3-1
1969-1970,22.03.1970,Milan-Sampdoria,0-0
1969-1970,22.03.1970,Palermo-Bari,0-0
1969-1970,22.03.1970,Torino-Roma,0-0
1969-1970,22.03.1970,Vicenza-Bologna,1-1
1969-1970,29.03.1970,Bari-Verona,0-2
1969-1970,29.03.1970,Bologna-Cagliari,0-0
1969-1970,29.03.1970,Brescia-Torino,0-1
1969-1970,29.03.1970,Inter-Fiorentina,3-0
1969-1970,29.03.1970,Juventus-Milan,3-0
1969-1970,29.03.1970,Napoli-Lazio,1-1
1969-1970,29.03.1970,Roma-Vicenza,1-0
1969-1970,29.03.1970,Sampdoria-Palermo,1-0
1969-1970,05.04.1970,Bari-Inter,0-1
1969-1970,05.04.1970,Cagliari-Palermo,2-0
1969-1970,05.04.1970,Juventus-Brescia,1-0
1969-1970,05.04.1970,Milan-Torino,3-0
1969-1970,05.04.1970,Napoli-Bologna,0-0
1969-1970,05.04.1970,Roma-Fiorentina,0-1
1969-1970,05.04.1970,Verona-Lazio,1-1
1969-1970,05.04.1970,Vicenza-Sampdoria,2-1
1969-1970,12.04.1970,Brescia-Vicenza,1-1
1969-1970,12.04.1970,Cagliari-Bari,2-0
1969-1970,12.04.1970,Fiorentina-Milan,4-2
1969-1970,12.04.1970,Inter-Napoli,1-0
1969-1970,12.04.1970,Lazio-Juventus,2-0
1969-1970,12.04.1970,Palermo-Roma,2-2
1969-1970,12.04.1970,Sampdoria-Verona,2-1
1969-1970,12.04.1970,Torino-Bologna,1-1
1969-1970,19.04.1970,Bologna-Sampdoria,1-1
1969-1970,19.04.1970,Fiorentina-Brescia,0-1
1969-1970,18.04.1970,Juventus-Roma,1-1
1969-1970,19.04.1970,Lazio-Bari,4-1
1969-1970,19.04.1970,Milan-Cagliari,0-0
1969-1970,19.04.1970,Napoli-Palermo,0-0
1969-1970,19.04.1970,Verona-Inter,1-3
1969-1970,19.04.1970,Vicenza-Torino,1-0
1969-1970,26.04.1970,Bari-Juventus,2-1
1969-1970,26.04.1970,Brescia-Lazio,0-0
1969-1970,26.04.1970,Milan-Vicenza,1-0
1969-1970,26.04.1970,Palermo-Fiorentina,1-1
1969-1970,26.04.1970,Roma-Bologna,1-2
1969-1970,26.04.1970,Sampdoria-Inter,0-5
1969-1970,26.04.1970,Torino-Cagliari,0-4
1969-1970,26.04.1970,Verona-Napoli,1-0
1970-1971,27.09.1970,Bologna-Vicenza,3-0
1970-1971,27.09.1970,Cagliari-Sampdoria,2-1
1970-1971,27.09.1970,Catania-Juventus,0-1
1970-1971,27.09.1970,Milan-Lazio,1-1
1970-1971,27.09.1970,Napoli-Varese,1-0
1970-1971,27.09.1970,Roma-Fiorentina,0-1
1970-1971,27.09.1970,Torino-Foggia,1-1
1970-1971,27.09.1970,Verona-Inter,1-2
1970-1971,04.10.1970,Fiorentina-Verona,1-1
1970-1971,04.10.1970,Foggia-Milan,1-1
1970-1971,04.10.1970,Inter-Roma,0-0
1970-1971,04.10.1970,Juventus-Bologna,0-0
1970-1971,04.10.1970,Lazio-Cagliari,2-4
1970-1971,04.10.1970,Sampdoria-Napoli,0-1
1970-1971,04.10.1970,Varese-Torino,0-0
1970-1971,04.10.1970,Vicenza-Catania,0-0
1970-1971,11.10.1970,Bologna-Inter,2-2
1970-1971,11.10.1970,Cagliari-Varese,1-1
1970-1971,11.10.1970,Catania-Fiorentina,0-0
1970-1971,11.10.1970,Milan-Sampdoria,3-1
1970-1971,11.10.1970,Napoli-Foggia,0-0
1970-1971,11.10.1970,Roma-Vicenza,4-1
1970-1971,11.10.1970,Torino-Lazio,1-1
1970-1971,11.10.1970,Verona-Juventus,0-0
1970-1971,25.10.1970,Fiorentina-Napoli,0-1
1970-1971,25.10.1970,Foggia-Bologna,1-1
1970-1971,25.10.1970,Inter-Cagliari,1-3
1970-1971,25.10.1970,Juventus-Milan,0-2
1970-1971,25.10.1970,Lazio-Verona,1-1
1970-1971,25.10.1970,Sampdoria-Catania,2-0
1970-1971,25.10.1970,Varese-Roma,0-0
1970-1971,25.10.1970,Vicenza-Torino,1-1
1970-1971,08.11.1970,Bologna-Lazio,2-0
1970-1971,08.11.1970,Cagliari-Foggia,1-1
1970-1971,08.11.1970,Catania-Varese,0-0
1970-1971,08.11.1970,Milan-Inter,3-0
1970-1971,08.11.1970,Napoli-Juventus,1-0
1970-1971,08.11.1970,Roma-Sampdoria,0-0
1970-1971,08.11.1970,Torino-Fiorentina,1-1
1970-1971,08.11.1970,Verona-Vicenza,1-0
1970-1971,15.11.1970,Fiorentina-Milan,2-5
1970-1971,15.11.1970,Foggia-Catania,1-0
1970-1971,15.11.1970,Inter-Torino,2-0
1970-1971,15.11.1970,Juventus-Cagliari,2-1
1970-1971,15.11.1970,Lazio-Roma,1-1
1970-1971,15.11.1970,Sampdoria-Verona,3-0
1970-1971,15.11.1970,Varese-Bologna,0-0
1970-1971,15.11.1970,Vicenza-Napoli,0-1
1970-1971,22.11.1970,Bologna-Sampdoria,1-1
1970-1971,22.11.1970,Cagliari-Fiorentina,2-0
1970-1971,22.11.1970,Catania-Lazio,3-1
1970-1971,22.11.1970,Milan-Vicenza,3-1
1970-1971,22.11.1970,Napoli-Inter,2-1
1970-1971,22.11.1970,Roma-Foggia,3-1
1970-1971,22.11.1970,Torino-Juventus,2-1
1970-1971,22.11.1970,Verona-Varese,1-1
1970-1971,29.11.1970,Fiorentina-Bologna,1-2
1970-1971,29.11.1970,Foggia-Verona,3-0
1970-1971,29.11.1970,Inter-Catania,3-2
1970-1971,29.11.1970,Juventus-Roma,2-0
1970-1971,29.11.1970,Lazio-Napoli,0-0
1970-1971,29.11.1970,Sampdoria-Torino,0-0
1970-1971,29.11.1970,Varese-Milan,1-1
1970-1971,29.11.1970,Vicenza-Cagliari,1-1
1970-1971,13.12.1970,Bologna-Catania,2-0
1970-1971,13.12.1970,Foggia-Lazio,5-2
1970-1971,13.12.1970,Milan-Verona,1-1
1970-1971,13.12.1970,Roma-Cagliari,0-0
1970-1971,13.12.1970,Sampdoria-Fiorentina,2-2
1970-1971,13.12.1970,Torino-Napoli,1-1
1970-1971,13.12.1970,Varese-Juventus,0-0
1970-1971,13.12.1970,Vicenza-Inter,1-2
1970-1971,20.12.1970,Cagliari-Bologna,2-1
1970-1971,20.12.1970,Catania-Roma,1-2
1970-1971,20.12.1970,Fiorentina-Foggia,3-0
1970-1971,21.12.1970,Inter-Varese,3-2
1970-1971,20.12.1970,Juventus-Vicenza,2-1
1970-1971,20.12.1970,Lazio-Sampdoria,1-0
1970-1971,20.12.1970,Napoli-Milan,0-2
1970-1971,06.01.1971,Verona-Torino,1-0
1970-1971,27.12.1970,Catania-Cagliari,1-1
1970-1971,27.12.1970,Fiorentina-Lazio,1-1
1970-1971,27.12.1970,Foggia-Sampdoria,2-2
1970-1971,27.12.1970,Inter-Juventus,2-0
1970-1971,27.12.1970,Napoli-Verona,2-0
1970-1971,27.12.1970,Roma-Bologna,1-1
1970-1971,27.12.1970,Torino-Milan,1-1
1970-1971,27.12.1970,Vicenza-Varese,3-1
1970-1971,03.01.1971,Bologna-Verona,2-2
1970-1971,03.01.1971,Cagliari-Torino,0-0
1970-1971,03.01.1971,Juventus-Lazio,3-1
1970-1971,03.01.1971,Milan-Catania,4-0
1970-1971,03.01.1971,Roma-Napoli,2-2
1970-1971,03.01.1971,Sampdoria-Inter,0-2
1970-1971,03.01.1971,Varese-Fiorentina,0-0
1970-1971,03.01.1971,Vicenza-Foggia,1-0
1970-1971,10.01.1971,Fiorentina-Vicenza,0-0
